Date	Expension	Winner	Ziner	Ades	Avishai	Tomer
15/10/2021	Cities & Knights	Ades	9	13	11	
15/10/2021	Cities & Knights	Ziner	13	10	11	
21/10/2021	Cities & Knights	Ades	8	13	6	
21/10/2021	Cities & Knights	Avishai	7	12	13	
28/10/2021	Cities & Knights	Ziner	13	5	7	
02/12/2021	Cities & Knights	Ades	6	13		4
02/12/2021	Cities & Knights	Ades	9	13		4
05/12/2021	Cities & Knights	Ziner	13	11		12
05/12/2021	Base Game	Avishai			10	
05/12/2021	Base Game	Ades		10	6	
16/12/2021	Cities & Knights	Ades	6 (2)	13 (4)	4 (1)	5 (3)
16/12/2021	Cities & Knights	Avishai	9 (1)	7 (3)	13 (4)	5 (2)
23/12/2021	Cities & Knights	Ziner	14 (2)	5 (1)		
23/12/2021	Cities & Knights	Ades	11 (1)	13 (3)		
23/12/2021	Cities & Knights	Ades	11(3)	13 (2)		
14/01/2022	Cities & Knights	Ziner	13(2)	8(3)	11(1)	
01/02/2022	Cities & Knights	Tomer	9(3)	12(2)		13(1)
24/03/2022	Base Game	Ades		10(3)	9(2)	8(1)
24/03/2022	Base Game	Ades		10(3)	7(2)	6(1)
01/09/2022	Traders & Barbarians	Avishai	9(3)	7(1)	12(2)	
01/09/2022	Traders & Barbarians	Ades	6(2)	12(3)	9(4)	
06/10/2022	Traders & Barbarians	Ades	10(2)	12(3)	6(4)	7(1)
29/10/2022	Seafarers	Ades	11(2)	16(3)	11(4)	11(1)
05/11/2022	Seafarers	Ades	11(2)	15(1)		11(3)
17/11/2022	Cities & Knights	Avishai	10(1)		13(3)	11(2)
17/11/2022	Seafarers	Ades	9(2)	15(1)	13(4)	10(3)
03/12/22	Seafarers	Tomer	6(3)	8(2)	8(4)	15(1)
12/12/22	Seafarers	Ades	8(2)	15(1)		13(3)
15/12/2022	Cities & Knights	Ades	10(1)	13(2)	11(3)	
20/12/2022	Seafarers	Ziner	15(1)	14(3)		12(2)
16/02/2023	Seafarers	Ziner	15(1)	13(2)	12(3)	
08/04/2023	Traders & Barbarians	Tomer	8(4)	8(3)	7(1)	12(2)
23/06/23	Seafarers	Tomer	11(3)		14(2)	15(1)
11/07/2023	Cities & Knights	Ziner	13(1)		10(2)	9(3)
28/07/2023	Cities & Knights	Ziner	13(3)	5(1)	5(1)	
28/07/2023	Cities & Knights	Ades	5(1)	14(2)	6(3)	
10/08/2023	Cities & Knights	Ades	10(1)	13(2)	6(2)	
12/09/2023	Traders & Barbarians	Ziner	12(1)	11(2)	8(3)	9(4)
28/09/2023	Cities & Knights	Ades	8(1)	13(2)	7(3)	
06/01/2024	Cities & Knights	Ziner	13(3)	5(1)	9(2)	
03/02/2024	Traders & Barbarians	Ades	13(3)	9(2)	7(1)	8(4)
29/02/2024	Cities & Knights	Ziner	13(2)	8(3)	8(1)	
29/03/2024	Cities & Knights	Ades	13(1)	7(2)		5(3)
26/04/2024	Explorers & Pirates	Tomer	9(2)	6(3)		12(1)
03/05/2024	Explorers & Pirates	Ziner	9(1)	12(2)	10(4)	9(3)
07/06/2024	Cities & Knights	Avishai	11(3)	7(1)	13(4)	8(2)
05/07/2024	Cities & Knights	Avishai	8(2)	8(1)	13(3)	
06/09/2024	Traders & Barbarians	Ziner	9(3)	12(1)	5(4)	7(2)
10/11/2024	Explorers & Pirates	Ades	14(3)	12(2)	8(1)	
01/03/2025	Cities & Knights	Ades	13(2)	9(3)	8(1)	
